Ref,Val,Package,PosX,PosY,Rot,Side
"D1","D","D_SOD-123",9.000000,-13.200000,0.000000,bottom
"D2","D","D_SOD-123",27.000000,-13.200000,0.000000,bottom
"D3","D","D_SOD-123",45.000000,-13.200000,0.000000,bottom
"D4","D","D_SOD-123",63.000000,-13.200000,0.000000,bottom
"D5","D","D_SOD-123",81.000000,-13.200000,0.000000,bottom
"D6","D","D_SOD-123",99.000000,-13.200000,0.000000,bottom
"D7","D","D_SOD-123",153.000000,-13.200000,0.000000,bottom
"D8","D","D_SOD-123",171.000000,-13.200000,0.000000,bottom
"D9","D","D_SOD-123",189.000000,-13.200000,0.000000,bottom
"D10","D","D_SOD-123",207.000000,-13.200000,0.000000,bottom
"D11","D","D_SOD-123",225.000000,-13.200000,0.000000,bottom
"D12","D","D_SOD-123",243.000000,-13.200000,0.000000,bottom
"D13","D","D_SOD-123",9.000000,-30.200000,0.000000,bottom
"D14","D","D_SOD-123",27.000000,-30.200000,0.000000,bottom
"D15","D","D_SOD-123",45.000000,-30.200000,0.000000,bottom
"D16","D","D_SOD-123",63.000000,-30.200000,0.000000,bottom
"D17","D","D_SOD-123",81.000000,-30.200000,0.000000,bottom
"D18","D","D_SOD-123",99.000000,-30.200000,0.000000,bottom
"D19","D","D_SOD-123",153.000000,-30.200000,0.000000,bottom
"D20","D","D_SOD-123",171.000000,-30.200000,0.000000,bottom
"D21","D","D_SOD-123",189.000000,-30.200000,0.000000,bottom
"D22","D","D_SOD-123",207.000000,-30.200000,0.000000,bottom
"D23","D","D_SOD-123",225.000000,-30.200000,0.000000,bottom
"D24","D","D_SOD-123",243.000000,-30.200000,0.000000,bottom
"D25","D","D_SOD-123",9.000000,-47.200000,0.000000,bottom
"D26","D","D_SOD-123",27.000000,-47.200000,0.000000,bottom
"D27","D","D_SOD-123",45.000000,-47.200000,0.000000,bottom
"D28","D","D_SOD-123",63.000000,-47.200000,0.000000,bottom
"D29","D","D_SOD-123",81.000000,-47.200000,0.000000,bottom
"D30","D","D_SOD-123",99.000000,-47.200000,0.000000,bottom
"D31","D","D_SOD-123",117.000000,-47.200000,0.000000,bottom
"D32","D","D_SOD-123",135.000000,-47.200000,0.000000,bottom
"D33","D","D_SOD-123",153.000000,-47.200000,0.000000,bottom
"D34","D","D_SOD-123",171.000000,-47.200000,0.000000,bottom
"D35","D","D_SOD-123",189.000000,-47.200000,0.000000,bottom
"D36","D","D_SOD-123",207.000000,-47.200000,0.000000,bottom
"D37","D","D_SOD-123",225.000000,-47.200000,0.000000,bottom
"D38","D","D_SOD-123",243.000000,-47.200000,0.000000,bottom
"D39","D","D_SOD-123",9.000000,-64.200000,0.000000,bottom
"D40","D","D_SOD-123",27.000000,-64.200000,0.000000,bottom
"D41","D","D_SOD-123",45.000000,-64.200000,0.000000,bottom
"D42","D","D_SOD-123",63.000000,-64.200000,0.000000,bottom
"D43","D","D_SOD-123",81.000000,-64.200000,0.000000,bottom
"D44","D","D_SOD-123",99.000000,-64.200000,0.000000,bottom
"D45","D","D_SOD-123",117.000000,-64.200000,0.000000,bottom
"D46","D","D_SOD-123",135.000000,-64.200000,0.000000,bottom
"D47","D","D_SOD-123",153.000000,-64.200000,0.000000,bottom
"D48","D","D_SOD-123",171.000000,-64.200000,0.000000,bottom
"D49","D","D_SOD-123",189.000000,-64.200000,0.000000,bottom
"D50","D","D_SOD-123",207.000000,-64.200000,0.000000,bottom
"D51","D","D_SOD-123",225.000000,-64.200000,0.000000,bottom
"D52","D","D_SOD-123",243.000000,-64.200000,0.000000,bottom
"LOGO1","Logo-Bottom","Logo_Horizon_Small",126.000000,-16.500000,180.000000,bottom
