Designator,Mid X,Mid Y,Rotation,Layer
BTN1,112.5,-17.0,270.0,top
D1,9.0,-13.2,180.0,bottom
D10,207.0,-13.2,180.0,bottom
D11,225.0,-13.2,180.0,bottom
D12,243.0,-13.2,180.0,bottom
D13,9.0,-30.2,180.0,bottom
D14,27.0,-30.2,180.0,bottom
D15,45.0,-30.2,180.0,bottom
D16,63.0,-30.2,180.0,bottom
D17,81.0,-30.2,180.0,bottom
D18,99.0,-30.2,180.0,bottom
D19,153.0,-30.2,180.0,bottom
D2,27.0,-13.2,180.0,bottom
D20,171.0,-30.2,180.0,bottom
D21,189.0,-30.2,180.0,bottom
D22,207.0,-30.2,180.0,bottom
D23,225.0,-30.2,180.0,bottom
D24,243.0,-30.2,180.0,bottom
D25,9.0,-47.2,180.0,bottom
D26,27.0,-47.2,180.0,bottom
D27,45.0,-47.2,180.0,bottom
D28,63.0,-47.2,180.0,bottom
D29,81.0,-47.2,180.0,bottom
D3,45.0,-13.2,180.0,bottom
D30,99.0,-47.2,180.0,bottom
D31,117.0,-47.2,180.0,bottom
D32,135.0,-47.2,180.0,bottom
D33,153.0,-47.2,180.0,bottom
D34,171.0,-47.2,180.0,bottom
D35,189.0,-47.2,180.0,bottom
D36,207.0,-47.2,180.0,bottom
D37,225.0,-47.2,180.0,bottom
D38,243.0,-47.2,180.0,bottom
D39,9.0,-64.2,180.0,bottom
D4,63.0,-13.2,180.0,bottom
D40,27.0,-64.2,180.0,bottom
D41,45.0,-64.2,180.0,bottom
D42,63.0,-64.2,180.0,bottom
D43,81.0,-64.2,180.0,bottom
D44,99.0,-64.2,180.0,bottom
D45,117.0,-64.2,180.0,bottom
D46,135.0,-64.2,180.0,bottom
D47,153.0,-64.2,180.0,bottom
D48,171.0,-64.2,180.0,bottom
D49,189.0,-64.2,180.0,bottom
D5,81.0,-13.2,180.0,bottom
D50,207.0,-64.2,180.0,bottom
D51,225.0,-64.2,180.0,bottom
D52,243.0,-64.2,180.0,bottom
D6,99.0,-13.2,180.0,bottom
D7,153.0,-13.2,180.0,bottom
D8,171.0,-13.2,180.0,bottom
D9,189.0,-13.2,180.0,bottom
LOGO1,126.0,-16.5,0.0,bottom
LOGO2,126.0,-17.0,0.0,top
SW1,10.7875,-6.2625,0.0,top
SW10,208.7875,-6.2625,0.0,top
SW11,226.7875,-6.2625,0.0,top
SW12,244.7875,-6.2625,0.0,top
SW13,10.7875,-23.2625,0.0,top
SW14,28.7875,-23.2625,0.0,top
SW15,46.7875,-23.2625,0.0,top
SW16,64.7875,-23.2625,0.0,top
SW17,82.7875,-23.2625,0.0,top
SW18,100.7875,-23.2625,0.0,top
SW19,154.7875,-23.2625,0.0,top
SW2,28.7875,-6.2625,0.0,top
SW20,172.7875,-23.2625,0.0,top
SW21,190.7875,-23.2625,0.0,top
SW22,208.7875,-23.2625,0.0,top
SW23,226.7875,-23.2625,0.0,top
SW24,244.7875,-23.2625,0.0,top
SW25,10.7875,-40.2625,0.0,top
SW26,28.7875,-40.2625,0.0,top
SW27,46.7875,-40.2625,0.0,top
SW28,64.7875,-40.2625,0.0,top
SW29,82.7875,-40.2625,0.0,top
SW3,46.7875,-6.2625,0.0,top
SW30,100.7875,-40.2625,0.0,top
SW31,118.7875,-40.2625,0.0,top
SW32,136.7875,-40.2625,0.0,top
SW33,154.7875,-40.2625,0.0,top
SW34,172.7875,-40.2625,0.0,top
SW35,190.7875,-40.2625,0.0,top
SW36,208.7875,-40.2625,0.0,top
SW37,226.7875,-40.2625,0.0,top
SW38,244.7875,-40.2625,0.0,top
SW39,10.7875,-57.2625,0.0,top
SW4,64.7875,-6.2625,0.0,top
SW40,28.7875,-57.2625,0.0,top
SW41,46.7875,-57.2625,0.0,top
SW42,64.7875,-57.2625,0.0,top
SW43,82.7875,-57.2625,0.0,top
SW44,100.7875,-57.2625,0.0,top
SW45,118.7875,-57.2625,0.0,top
SW46,136.7875,-57.2625,0.0,top
SW47,154.7875,-57.2625,0.0,top
SW48,172.7875,-57.2625,0.0,top
SW49,190.7875,-57.2625,0.0,top
SW5,82.7875,-6.2625,0.0,top
SW50,208.7875,-57.2625,0.0,top
SW51,226.7875,-57.2625,0.0,top
SW52,244.7875,-57.2625,0.0,top
SW6,100.7875,-6.2625,0.0,top
SW7,154.7875,-6.2625,0.0,top
SW8,172.7875,-6.2625,0.0,top
SW9,190.7875,-6.2625,0.0,top
U1,126.0,-18.0,0.0,top
